# Collision-free coverage path for gazebo_worlds/worlds/warehouse.sdf.
#
# Values use PX4 NED coordinates: north, east, down, yaw_radians.
# The route stays in the known warehouse aisles at 3 m altitude. Tall shelves
# and structural columns are avoided horizontally; the 1.8 m shelves are
# cleared vertically.
# Consecutive points are deliberately close because this node advances every
# five seconds without using PX4 position feedback.

# Start, then move west through the open central corridor.
0.0,0.0,-3.0,-1.5708
2.0,0.0,-3.0,-1.5708
2.0,-4.0,-3.0,-1.5708
2.0,-8.0,-3.0,-1.5708
2.0,-12.5,-3.0,-1.5708
0.0,-12.5,-3.0,1.5708

# West wall / west side of shelf_big_0.
-4.0,-12.5,-3.0,1.5708
-8.0,-12.5,-3.0,1.5708
-12.0,-12.5,-3.0,1.5708
-16.0,-12.5,-3.0,1.5708
-20.0,-12.5,-3.0,1.5708
-22.5,-12.5,-3.0,1.5708
-18.0,-12.5,-3.0,-1.5708
-14.0,-12.5,-3.0,-1.5708
-10.0,-12.5,-3.0,-1.5708
-6.0,-12.5,-3.0,-1.5708
-2.0,-12.5,-3.0,-1.5708
0.0,-12.5,-3.0,-1.5708
2.0,-12.5,-3.0,-1.5708

# Aisle between shelf_big_0 and shelf_big_2.
2.0,-9.0,-3.0,1.5708
2.0,-5.5,-3.0,1.5708
0.0,-5.5,-3.0,1.5708
-4.0,-5.5,-3.0,1.5708
-8.0,-5.5,-3.0,1.5708
-12.0,-5.5,-3.0,1.5708
-16.0,-5.5,-3.0,1.5708
-20.0,-5.5,-3.0,1.5708
-22.5,-5.5,-3.0,1.5708
-18.0,-5.5,-3.0,-1.5708
-14.0,-5.5,-3.0,-1.5708
-10.0,-5.5,-3.0,-1.5708
-6.0,-5.5,-3.0,-1.5708
-2.0,-5.5,-3.0,-1.5708
0.0,-5.5,-3.0,-1.5708
2.0,-5.5,-3.0,-1.5708

# Aisle between shelf_big_2 and shelf_big_1.
2.0,-1.0,-3.0,1.5708
2.0,3.2,-3.0,1.5708
0.0,3.2,-3.0,1.5708
-4.0,3.2,-3.0,1.5708
-8.0,3.2,-3.0,1.5708
-12.0,3.2,-3.0,1.5708
-16.0,3.2,-3.0,1.5708
-20.0,3.2,-3.0,1.5708
-22.5,3.2,-3.0,1.5708
-18.0,3.2,-3.0,-1.5708
-14.0,3.2,-3.0,-1.5708
-10.0,3.2,-3.0,-1.5708
-6.0,3.2,-3.0,-1.5708
-2.0,3.2,-3.0,-1.5708
0.0,3.2,-3.0,-1.5708
2.0,3.2,-3.0,-1.5708

# East side of shelf_big_1.
2.0,6.0,-3.0,-1.5708
2.0,9.2,-3.0,-1.5708
0.0,9.2,-3.0,-1.5708
-4.0,9.2,-3.0,-1.5708
-8.0,9.2,-3.0,-1.5708
-12.0,9.2,-3.0,-1.5708
-16.0,9.2,-3.0,-1.5708
-20.0,9.2,-3.0,-1.5708
-22.5,9.2,-3.0,-1.5708
-18.0,9.2,-3.0,1.5708
-14.0,9.2,-3.0,1.5708
-10.0,9.2,-3.0,1.5708
-6.0,9.2,-3.0,1.5708
-2.0,9.2,-3.0,1.5708
0.0,9.2,-3.0,1.5708
2.0,9.2,-3.0,1.5708

# Return west through the central corridor.
2.0,5.0,-3.0,-1.5708
2.0,1.0,-3.0,-1.5708
2.0,-3.0,-3.0,-1.5708
2.0,-7.0,-3.0,-1.5708
2.0,-11.0,-3.0,-1.5708
2.0,-12.5,-3.0,-1.5708

# Cross-aisle south of shelf_big_3.
4.5,-12.5,-3.0,1.5708
4.5,-8.0,-3.0,0.0
4.5,-4.0,-3.0,0.0
4.5,0.0,-3.0,0.0
4.5,4.0,-3.0,0.0
4.5,6.5,-3.0,0.0
4.5,2.0,-3.0,3.1416
4.5,-2.0,-3.0,3.1416
4.5,-6.0,-3.0,3.1416
4.5,-10.0,-3.0,3.1416
4.5,-12.5,-3.0,3.1416

# Cross-aisle between shelf_big_3 and shelf_big_4.
8.0,-12.5,-3.0,1.5708
12.5,-12.5,-3.0,1.5708
12.5,-8.0,-3.0,0.0
12.5,-4.0,-3.0,0.0
12.5,0.0,-3.0,0.0
12.5,4.0,-3.0,0.0
12.5,8.0,-3.0,0.0
12.5,12.5,-3.0,0.0
12.5,8.0,-3.0,3.1416
12.5,4.0,-3.0,3.1416
12.5,0.0,-3.0,3.1416
12.5,-4.0,-3.0,3.1416
12.5,-8.0,-3.0,3.1416
12.5,-12.5,-3.0,3.1416

# North side of shelf_big_4 and the north wall.
16.0,-12.5,-3.0,1.5708
20.0,-12.5,-3.0,1.5708
22.5,-12.5,-3.0,1.5708
22.5,-8.0,-3.0,3.1416
22.5,-4.0,-3.0,3.1416
22.5,0.0,-3.0,3.1416
22.5,4.0,-3.0,3.1416
22.5,8.0,-3.0,3.1416
22.5,12.5,-3.0,3.1416
22.5,8.0,-3.0,0.0
22.5,4.0,-3.0,0.0
22.5,0.0,-3.0,0.0
22.5,-4.0,-3.0,0.0
22.5,-8.0,-3.0,0.0
22.5,-12.5,-3.0,0.0
